reading refs.json...
N=3000000
fresh init via std::sample (K=1700)
training k-means: K=1700 T=200 DIM=14 N=3000000 resume_from=0 eps=1e-06
  iter 116/200  took=9969ms  total=1143s  move=0.239558
  iter 117/200  took=9949ms  total=1153s  move=0.227826
  iter 118/200  took=9944ms  total=1163s  move=0.226005
  iter 119/200  took=9959ms  total=1173s  move=0.23111
  iter 120/200  took=9890ms  total=1183s  move=0.23117
  iter 121/200  took=9845ms  total=1193s  move=0.217318
  iter 122/200  took=9885ms  total=1203s  move=0.206574
  iter 123/200  took=9851ms  total=1212s  move=0.20693
  iter 124/200  took=9826ms  total=1222s  move=0.204401
  iter 125/200  took=9884ms  total=1232s  move=0.207195
  iter 126/200  took=9867ms  total=1242s  move=0.203927
  iter 127/200  took=9819ms  total=1252s  move=0.201875
  iter 128/200  took=9845ms  total=1262s  move=0.19873
  iter 129/200  took=9887ms  total=1272s  move=0.197419
  iter 130/200  took=9859ms  total=1281s  move=0.201998
  iter 131/200  took=9913ms  total=1291s  move=0.201503
  iter 132/200  took=9949ms  total=1301s  move=0.203584
  iter 133/200  took=9959ms  total=1311s  move=0.198457
  iter 134/200  took=9879ms  total=1321s  move=0.200193
  iter 135/200  took=9880ms  total=1331s  move=0.208063
  iter 136/200  took=9894ms  total=1341s  move=0.213531
  iter 137/200  took=9904ms  total=1351s  move=0.220187
  iter 138/200  took=9945ms  total=1361s  move=0.212478
  iter 139/200  took=9983ms  total=1371s  move=0.208196
  iter 140/200  took=9882ms  total=1381s  move=0.215088
  iter 141/200  took=9856ms  total=1390s  move=0.220682
  iter 142/200  took=9844ms  total=1400s  move=0.22576
  iter 143/200  took=9926ms  total=1410s  move=0.216372
  iter 144/200  took=9827ms  total=1420s  move=0.223524
  iter 145/200  took=9841ms  total=1430s  move=0.216838
  iter 146/200  took=9867ms  total=1440s  move=0.219229
  iter 147/200  took=9900ms  total=1450s  move=0.215518
  iter 148/200  took=9836ms  total=1459s  move=0.20996
  iter 149/200  took=9867ms  total=1469s  move=0.207345
  iter 150/200  took=9885ms  total=1479s  move=0.201037
  iter 151/200  took=9833ms  total=1489s  move=0.191798
  iter 152/200  took=9870ms  total=1499s  move=0.183736
  iter 153/200  took=9826ms  total=1509s  move=0.174401
  iter 154/200  took=9808ms  total=1519s  move=0.184646
  iter 155/200  took=9903ms  total=1528s  move=0.182101
  iter 156/200  took=9910ms  total=1538s  move=0.187166
  iter 157/200  took=9878ms  total=1548s  move=0.182837
  iter 158/200  took=9859ms  total=1558s  move=0.176124
  iter 159/200  took=9886ms  total=1568s  move=0.183188
  iter 160/200  took=9894ms  total=1578s  move=0.1931
  iter 161/200  took=9833ms  total=1588s  move=0.196067
  iter 162/200  took=9858ms  total=1598s  move=0.192168
  iter 163/200  took=9799ms  total=1607s  move=0.198473
  iter 164/200  took=9824ms  total=1617s  move=0.204034
  iter 165/200  took=9875ms  total=1627s  move=0.19488
  iter 166/200  took=9837ms  total=1637s  move=0.194717
  iter 167/200  took=9825ms  total=1647s  move=0.191883
  iter 168/200  took=9826ms  total=1657s  move=0.19713
  iter 169/200  took=9849ms  total=1666s  move=0.204226
  iter 170/200  took=9842ms  total=1676s  move=0.198658
